alfano2001_TableI_to1.7 null-space, alfano2001_dcb.ipynb, started Thu Sep 24 06:55:42 2026
delta=0.1000 P=3.569 Ptrac=3.551 a=30.00 dmax=0.967 it=6
delta=0.2000 P=6.708 Ptrac=6.626 a=30.00 dmax=0.991 it=4
delta=0.3000 P=9.607 Ptrac=9.559 a=30.00 dmax=0.996 it=4
delta=0.4000 P=12.333 Ptrac=12.388 a=30.00 dmax=0.998 it=3
delta=0.5000 P=14.903 Ptrac=15.072 a=30.00 dmax=0.998 it=3
delta=0.6000 P=17.362 Ptrac=17.608 a=30.00 dmax=0.999 it=3
delta=0.7000 P=19.720 Ptrac=19.984 a=30.00 dmax=0.999 it=3
delta=0.8000 P=21.977 Ptrac=22.190 a=30.00 dmax=0.999 it=3
delta=0.9000 P=24.158 Ptrac=24.276 a=30.00 dmax=0.999 it=3
delta=1.0000 P=26.266 Ptrac=26.249 a=30.00 dmax=1.000 it=2
delta=1.1000 P=28.259 Ptrac=28.089 a=30.00 dmax=1.000 it=2
delta=1.2000 P=30.209 Ptrac=29.889 a=30.00 dmax=1.000 it=2
delta=1.3000 P=32.056 Ptrac=31.619 a=30.00 dmax=1.000 it=2
delta=1.4000 P=33.872 Ptrac=33.336 a=30.00 dmax=1.000 it=2
delta=1.5000 P=35.585 Ptrac=35.021 a=30.00 dmax=1.000 it=2
delta=1.6000 P=37.281 Ptrac=36.702 a=30.00 dmax=1.000 it=2
delta=1.7000 P=38.859 Ptrac=38.359 a=30.00 dmax=1.000 it=2
delta=1.8000 P=40.410 Ptrac=40.012 a=30.00 dmax=1.000 it=2
delta=1.9000 P=41.856 Ptrac=41.619 a=30.00 dmax=1.000 it=2
delta=2.0000 P=43.238 Ptrac=43.198 a=30.00 dmax=1.000 it=2
delta=2.1000 P=44.535 Ptrac=44.708 a=30.00 dmax=1.000 it=2
delta=2.2000 P=45.723 Ptrac=46.122 a=30.00 dmax=1.000 it=2
delta=2.3000 P=46.863 Ptrac=47.479 a=30.00 dmax=1.000 it=3
delta=2.4000 P=47.838 Ptrac=48.615 a=30.00 dmax=1.000 it=2
delta=2.5000 P=48.780 Ptrac=49.706 a=30.00 dmax=1.000 it=2
delta=2.6000 P=49.535 Ptrac=50.492 a=30.00 dmax=1.000 it=3
delta=2.7000 P=50.200 Ptrac=51.132 a=30.00 dmax=1.000 it=2
delta=2.8000 P=50.658 Ptrac=51.434 a=30.00 dmax=1.000 it=2
delta=2.9000 P=50.928 Ptrac=51.432 a=30.00 dmax=1.000 it=2
delta=3.0000 P=50.761 Ptrac=50.817 a=30.00 dmax=1.000 it=2
delta=3.1000 P=50.138 Ptrac=49.631 a=30.24 dmax=1.000 it=3
delta=3.2000 P=49.342 Ptrac=48.305 a=30.78 dmax=1.000 it=3
delta=3.3000 P=48.476 Ptrac=47.185 a=31.61 dmax=1.000 it=2
delta=3.4000 P=47.790 Ptrac=46.510 a=31.96 dmax=1.000 it=3
delta=3.5000 P=47.246 Ptrac=46.214 a=32.74 dmax=1.000 it=3
delta=3.6000 P=46.528 Ptrac=46.075 a=33.18 dmax=1.000 it=2
delta=3.7000 P=45.854 Ptrac=46.069 a=34.16 dmax=1.000 it=4
delta=3.8000 P=45.282 Ptrac=46.169 a=34.69 dmax=1.000 it=3
delta=3.9000 P=44.544 Ptrac=45.942 a=35.25 dmax=1.000 it=2
delta=4.0000 P=44.024 Ptrac=45.714 a=35.84 dmax=1.000 it=3
finished Thu Sep 24 09:08:55 2026, 7993 s, 40 openings, aborted False
